208,132,209207,209144,2098582
3.879,1.0344,0.6465,5.9478,2.1981
1.293,1.0344,0.6465,1.8102,2.586
2.4567,1.0344,0.6465,0.7758,2.3274
1.9395,0.5172,0.7758,3.4911,1.1637
1.4223,2.3274,0.9051,7.1115,4.9134
3.6204,3.7497,0.9051,7.758,3.2325
2.586,1.4223,2.0688,0.9051,1.1637
2.3274,6.7236,1.0344,0.5172,1.8102
2.9739,1.293,1.1637,2.4567,0.9051
1.9395,0.7758,0.9051,1.4223,0.6465
0.6465,1.8102,1.4223,1.0344,2.9739
1.5516,0.7758,0.6465,1.5516,0.9051
2.1981,0.9051,0.5172,1.4223,3.879
0.6465,0.6465,2.8446,1.1637,1.0344
0.5172,0.9051,1.293,1.0344,0.9051
3.2325,0.5172,1.8102,3.1032,0.5172
0.7758,1.293,0.7758,4.5255,0.5172
1.1637,1.8102,0.5172,0.7758,0.6465
1.293,1.293,0.9051,5.6892,5.8185
0.7758,1.0344,1.293,4.9134,1.0344
3.4911,0.7758,0.5172,1.0344,2.9739
0.7758,1.5516,0.9051,5.172,0.7758
1.6809,0.6465,0.6465,1.1637,0.6465
1.1637,0.5172,2.586,1.4223,0.7758
0.6465,0.5172,0.5172,0.7758,1.0344
1.5516,0.7758,0.9051,2.3274,1.1637
1.4223,0.7758,3.2325,1.293,4.7841
2.9739,0.6465,4.6548,0.6465,0.9051
2.8446,1.5516,0.5172,1.293,5.4306
1.8102,1.1637,3.4911,2.586,3.3618
2.9739,3.879,1.293,8.0166,1.5516
0.9051,1.0344,0.6465,3.1032,0.7758
0.7758,1.1637,0.6465,1.0344,0.7758
2.4567,1.5516,1.4223,1.9395,0.7758
4.0083,3.1032,0.6465,0.5172,3.3618
3.3618,0.6465,1.8102,2.586,1.293
0.7758,1.0344,1.5516,1.0344,2.1981
0.9051,1.6809,1.0344,0.5172,1.0344
2.3274,0.7758,2.0688,1.5516,1.6809
0.5172,0.7758,1.8102,0.7758,0.9051
